id,pair,bid,ask,spread_percentage,timestamp
34633,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:20:06.889626Z
34637,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:20:06.421212Z
34649,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:15:06.804920Z
34653,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:15:06.692821Z
34665,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:10:07.228778Z
34669,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:10:06.327592Z
34681,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:05:06.375031Z
34685,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:05:05.981245Z
34697,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:00:07.295700Z
34701,USDT_BRL,5.708,5.709,0.017519,2025-05-30T05:00:06.746929Z
34713,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:55:06.585128Z
34717,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:55:06.179434Z
34729,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:50:07.206876Z
34733,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:50:06.367882Z
34745,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:45:07.268884Z
34749,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:45:06.816510Z
34761,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:40:07.337223Z
34765,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:40:05.993179Z
34777,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:35:06.605334Z
34781,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:35:06.357878Z
34793,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:30:07.403694Z
34797,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:30:06.924596Z
34809,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:25:06.344371Z
34813,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:25:05.696197Z
34825,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:20:07.075329Z
34829,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:20:06.503373Z
34841,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:15:07.488760Z
34845,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:15:06.059530Z
34857,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:10:07.768079Z
34861,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:10:06.237352Z
34873,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:05:06.014735Z
34877,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:05:05.777026Z
34889,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:00:07.335426Z
34893,USDT_BRL,5.708,5.709,0.017519,2025-05-30T04:00:06.655223Z
34905,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:55:06.576444Z
34909,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:55:05.913736Z
34921,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:50:06.720445Z
34925,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:50:06.094935Z
34937,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:45:07.107165Z
34941,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:45:06.380282Z
34953,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:40:06.785568Z
34957,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:40:05.934444Z
34969,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:35:06.581474Z
34973,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:35:06.355685Z
34985,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:30:07.399733Z
34989,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:30:07.088199Z
35001,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:25:06.273223Z
35005,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:25:05.807404Z
35017,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:20:07.266369Z
35021,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:20:07.032034Z
35033,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:15:07.106351Z
35037,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:15:06.073756Z
35049,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:10:07.446873Z
35053,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:10:07.126335Z
35065,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:05:06.300126Z
35069,USDT_BRL,5.708,5.709,0.017519,2025-05-30T03:05:05.820644Z
35081,USDT_BRL,5.709,5.71,0.017516,2025-05-30T03:00:06.646969Z
35085,USDT_BRL,5.709,5.71,0.017516,2025-05-30T03:00:06.492481Z
35097,USDT_BRL,5.712,5.713,0.017507,2025-05-30T02:55:06.951440Z
35101,USDT_BRL,5.712,5.713,0.017507,2025-05-30T02:55:06.719759Z
35113,USDT_BRL,5.714,5.715,0.017501,2025-05-30T02:50:07.196689Z
35117,USDT_BRL,5.714,5.715,0.017501,2025-05-30T02:50:05.925767Z
35129,USDT_BRL,5.714,5.715,0.017501,2025-05-30T02:45:06.600269Z
35133,USDT_BRL,5.714,5.715,0.017501,2025-05-30T02:45:06.476198Z
35145,USDT_BRL,5.716,5.717,0.017495,2025-05-30T02:40:07.973404Z
35149,USDT_BRL,5.716,5.717,0.017495,2025-05-30T02:40:07.196919Z
